,0
create,12
empathy,12
significant,12
spot,12
worse,12
atheist,12
eating,11
nobody,11
actual,11
lose,11
seek,11
apply,11
bos,11
extent,11
dance,11
guessing,11
lunch,11
nineteen,11
limited,11
spanish,11
tested,11
wall,11
internal,11
board,11
behind,11
yep,11
quiz,11
surprise,11
coffee,11
mr,11
team,11
crush,11
liberal,11
reminds,11
affect,11
lazy,11
classic,11
city,11
luck,11
die,11
happening,11
lecture,11
surprised,11
duty,11
hobby,11
shy,11
expressing,11
fully,11
acting,11
pride,11
connection,11
itd,11
rare,11
friendly,11
instance,11
described,11
regret,11
confident,11
ha,11
knowledge,11
fix,11
per,11
successful,11
seventeen,11
studying,11
military,11
pm,11
meaning,11
tendency,11
strike,11
father,11
choose,10
community,10
rest,10
familiar,10
medium,10
release,10
became,10
roll,10
besides,10
weekend,10
btw,10
ideal,10
necessarily,10
understood,10
twice,10
return,10
zombie,10
pet,10
responding,10
overall,10
interview,10
motivation,10
sharing,10
depressed,10
admit,10
tear,10
annoyed,10
discus,10
organized,10
cut,10
service,10
double,10
spent,10
lie,10
christian,10
define,10
product,10
title,10
sitting,10
army,10
wondering,10
fantasy,10
baby,10
looked,10
6w5,10
annoying,10
primary,10
offer,10
form,10
material,10
slow,10
frustrating,10
ahead,10
immature,10
apparently,10
boundary,10
tends,10
engineering,10
walk,10
wonderful,10
australia,10
safe,10
cute,10
customer,10
jack,10
characteristic,10
option,10
ignore,10
assume,10
grammar,10
chocolate,10
hearing,10
kept,10
responsibility,10
pic,10
expect,10
caught,10
senior,10
manner,10
large,10
suspect,10
mid,10
ice,10
eh,10
physically,10
boy,9
factor,9
tolerant,9
texting,9
opportunity,9
sela,9
dude,9
yr,9
lately,9
pen,9
sexual,9
drama,9
culture,9
hehe,9
favourite,9
advantage,9
exist,9
green,9
explanation,9
handed,9
agreed,9
air,9
sweet,9
mainly,9
memory,9
buying,9
clock,9
conflict,9
smart,9
spending,9
star,9
article,9
quick,9
via,9
caring,9
travel,9
uncomfortable,9
forward,9
paying,9
finger,9
box,9
allows,9
slightly,9
selfish,9
dealing,9
grocery,9
showing,9
regarding,9
decide,9
beginning,9
ridiculous,9
chat,9
connect,9
season,9
received,9
throughout,9
mistake,9
sj,9
necessary,9
talked,9
desire,9
gender,9
meeting,9
stopped,9
polite,9
album,9
alike,9
regard,9
crime,9
search,9
unfortunately,9
model,9
robot,9
insult,9
silly,9
main,9
1w9,9
blushed,9
roommate,9
present,9
america,9
prone,9
shot,9
professional,9
blame,9
genuinely,9
stranger,9
anywhere,9
complete,9
staying,9
laugh,9
promise,9
join,9
yea,9
pull,9
wake,9
save,9
player,9
healthy,9
attitude,9
previous,9
driven,9
economy,8
john,8
cook,8
ixtj,8
comparison,8
shoe,8
upset,8
highly,8
image,8
willing,8
considering,8
grew,8
pink,8
homework,8
useful,8
terrible,8
draw,8
compared,8
surface,8
truly,8
therapist,8
bunch,8
bothered,8
rude,8
keeping,8
d850,8
update,8
hole,8
master,8
field,8
followed,8
needing,8
dick,8
horrible,8
battle,8
government,8
critical,8
enjoyed,8
attack,8
risk,8
foot,8
hm,8
ran,8
react,8
inner,8
intention,8
reality,8
bill,8
ie,8
walking,8
uh,8
humor,8
catch,8
opposed,8
news,8
confusing,8
psychology,8
achieve,8
judging,8
relation,8
occasionally,8
biggest,8
breakup,8
phrase,8
helped,8
dinner,8
claim,8
mention,8
key,8
activity,8
technical,8
multiple,8
none,8
scenario,8
effective,8
table,8
poor,8
complain,8
stressed,8
letting,8
missing,8
bear,8
interact,8
attempt,8
loud,8
skip,8
fucking,8
answering,8
nightmare,8
program,8
professor,8
swear,8
novel,8
building,8
werent,8
interaction,8
police,8
insight,8
info,8
casual,8
alive,8
physic,8
development,8
mark,8
sub,8
3rd,8
broken,8
anime,8
nearly,8
toward,8
drop,8
thus,8
rate,8
drinking,8
milk,8
hopefully,8
majority,8
theyll,8
lg,8
feeler,8
tip,8
potential,8
poll,8
expectation,8
forth,8
alternative,8
cautious,8
legitimate,8
build,8
yup,8
evidence,7
edge,7
upon,7
third,7
paid,7
creepy,7
comfort,7
illness,7
authority,7
fairly,7
exists,7
finish,7
brand,7
son,7
semi,7
spring,7
definition,7
holiday,7
mess,7
1w2,7
wouldve,7
cap,7
divorce,7
enjoying,7
scary,7
method,7
forever,7
answered,7
aggressive,7
hint,7
mutual,7
location,7
calm,7
till,7
career,7
dynamic,7
graduate,7
criticism,7
hilarious,7
wan,7
feedback,7
object,7
falling,7
assuming,7
planning,7
vibe,7
observation,7
died,7
hat,7
strength,7
prison,7
regardless,7
possibility,7
describing,7
gay,7
force,7
sleeping,7
genius,7
higher,7
combination,7
ocd,7
deeper,7
slowly,7
obviously,7
ya,7
controlling,7
dependable,7
slight,7
basis,7
flat,7
zone,7
useless,7
habit,7
drug,7
access,7
usual,7
freak,7
stressful,7
complex,7
brief,7
marry,7
becoming,7
appreciation,7
bike,7
door,7
numerous,7
childish,7
status,7
piss,7
asleep,7
gon,7
bought,7
tea,7
forgiveness,7
park,7
applied,7
confidence,7
various,7
carry,7
therefore,7
quit,7
semester,7
cost,7
grow,7
clue,7
scared,7
warning,7
humour,7
section,7
include,7
require,7
fire,7
available,7
overly,7
correlation,7
indeed,7
impossible,7
sugar,7
eventually,7
asks,7
vampire,7
focusing,7
alright,7
waiting,7
empty,7
circumstance,7
faith,7
neutral,7
push,7
height,7
careful,7
capable,7
shut,7
warm,7
jump,7
skeptical,7
solid,7
debate,7
rely,7
kidding,7
politics,7
dom,7
shopping,7
department,7
everybody,7
scene,7
website,7
receiving,7
nerve,7
paper,7
solution,7
cleaning,7
childhood,7
hall,6
freedom,6
external,6
immediate,6
background,6
prepared,6
offered,6
com,6
credit,6
equal,6
comedy,6
misunderstanding,6
lacking,6
beat,6
panic,6
compatible,6
loyal,6
peer,6
ton,6
joined,6
heavily,6
imagination,6
football,6
including,6
regularly,6
pressure,6
camera,6
blog,6
recommend,6
cooking,6
blind,6
pa,6
road,6
thrown,6
heavy,6
joking,6
estjs,6
entps,6
driver,6
assignment,6
primarily,6
developed,6
requirement,6
jung,6
theyd,6
mindset,6
target,6
voted,6
sum,6
delicious,6
gym,6
clothes,6
exception,6
restitution,6
accepting,6
training,6
tough,6
influence,6
hadnt,6
nah,6
allow,6
mate,6
threatening,6
pointed,6
gut,6
explains,6
constant,6
rat,6
category,6
checked,6
neither,6
observe,6
provide,6
accent,6
reveal,6
convinced,6
condition,6
request,6
gosh,6
thinker,6
picked,6
everywhere,6
tree,6
print,6
pushed,6
unlike,6
wed,6
listed,6
gather,6
sentence,6
vocal,6
esfps,6
silent,6
tone,6
5w6,6
twin,6
suggested,6
esfjs,6
minor,6
pointless,6
tomorrow,6
focused,6
narrow,6
puzzle,6
speech,6
smell,6
repent,6
click,6
banned,6
trolling,6
intro,6
initial,6
changing,6
stereotypical,6
oriented,6
experienced,6
knife,6
loyalty,6
mixed,6
measure,6
ball,6
isfjs,6
mix,6
extra,6
awhile,6
sun,6
king,6
machine,6
schedule,6
scored,6
obsessive,6
losing,6
nation,6
spelling,6
shirt,6
gathering,6
mentally,6
poster,6
joy,6
tired,6
mature,6
depend,6
includes,6
9w1,6
breaking,6
enthusiast,6
legal,6
bully,6
stubborn,6
low,6
huh,6
ftw,6
documentary,6
assessment,6
hide,6
required,6
anxiety,6
correctly,6
apple,6
lower,6
artist,6
appropriate,6
socially,6
aunt,6
liking,6
mode,6
paragraph,6
appreciated,6
harry,6
communicating,6
digital,6
grey,6
missed,6
passionate,6
netflix,6
patience,6
uk,6
default,6
voice,6
plus,6
incredibly,6
relative,6
heh,6
recall,6
attraction,6
closer,6
blunt,6
kitteh,6
leaf,6
passion,6
rush,6
chemistry,6
loss,6
jcal,6
added,6
originally,6
employer,6
balance,6
listing,5
vaguely,5
prejudice,5
load,5
mile,5
shadow,5
grandmother,5
vacation,5
manifest,5
policy,5
killer,5
bang,5
official,5
wind,5
realistic,5
bet,5
adding,5
snow,5
released,5
steal,5
library,5
spark,5
nag,5
supernatural,5
competitive,5
whereas,5
visit,5
demanding,5
yay,5
managed,5
begin,5
metal,5
iq,5
cream,5
myers,5
explaining,5
signature,5
feature,5
bf,5
initially,5
directly,5
included,5
closely,5
league,5
reasoning,5
loop,5
curiosity,5
immediately,5
assumed,5
favor,5
phoenix,5
mercer,5
figured,5
code,5
success,5
seriousness,5
pop,5
3d,5
ride,5
egg,5
chinese,5
industry,5
technology,5
ish,5
window,5
restaurant,5
nope,5
behaviour,5
abuse,5
irrational,5
ending,5
price,5
youtube,5
routine,5
rinse,5
efficient,5
guilty,5
winter,5
sunday,5
textbook,5
intense,5
transfer,5
stated,5
marathon,5
sli,5
mouth,5
vote,5
progress,5
management,5
neat,5
appear,5
variety,5
helping,5
screen,5
detailed,5
intimate,5
role,5
leaving,5
worried,5
threat,5
named,5
bump,5
fuck,5
admire,5
teasing,5
acceptable,5
grain,5
loosely,5
nt,5
treat,5
candy,5
accounting,5
necro,5
saved,5
questionnaire,5
dave,5
local,5
burger,5
subforum,5
item,5
acquaintance,5
direction,5
brown,5
baseball,5
wearing,5
oblivious,5
alcohol,5
folk,5
december,5
vision,5
switch,5
browser,5
weakness,5
hated,5
firstly,5
treatment,5
gf,5
confirmed,5
package,5
relief,5
corner,5
foreign,5
sake,5
aka,5
colleague,5
perceiving,5
barely,5
weight,5
timeless,5
excited,5
famous,5
enter,5
realist,5
fighting,5
commitment,5
gold,5
elementary,5
earth,5
lying,5
buddy,5
hidden,5
briggs,5
locus,5
dc,5
offense,5
workplace,5
dozen,5
iphone,5
insane,5
meh,5
studied,5
reader,5
initiate,5
queen,5
lucky,5
bottle,5
loose,5
guessed,5
caused,5
education,5
hoping,5
rational,5
cheated,5
sherlock,5
commonly,5
contribute,5
town,5
ticket,5
tab,5
united,5
blood,5
lurking,5
defined,5
anytime,5
committed,5
length,5
loving,5
weak,5
shift,5
crowd,5
software,5
street,5
depression,5
grudge,5
burn,5
stem,5
arguing,5
classical,5
teaching,5
judge,5
international,5
arm,5
psychological,5
sydney,5
frequently,5
cent,5
elaborate,5
nature,5
latest,5
factual,5
jumping,5
psychopath,5
planetanarchy,5
income,5
theyve,5
passing,5
bright,5
touchy,5
beautiful,5
oooh,5
discussing,5
drawing,5
percentage,5
offering,5
shown,5
sci,5
solo,5
friday,5
flow,5
cycle,5
tease,5
ate,5
surprisingly,5
pair,5
awareness,5
bathroom,5
harsh,5
daily,5
honesty,5
happier,5
objective,5
ready,5
considered,5
excellent,5
skin,5
intend,5
connected,5
2nd,5
plot,5
convert,5
yall,5
outgoing,5
element,5
rejection,5
concept,5
creating,5
kiss,5
supply,5
apology,5
rain,5
shell,5
limerence,5
beyond,5
daughter,5
japan,5
zero,5
web,5
psychologist,5
population,5
grab,4
statistic,4
steak,4
fancy,4
laughed,4
borrow,4
unrealistic,4
understandable,4
closed,4
torture,4
talkative,4
everyones,4
behave,4
defense,4
final,4
fried,4
harrison,4
prevent,4
ingredient,4
proper,4
apologize,4
toy,4
enjoyable,4
meetup,4
wolf,4
airplane,4
prove,4
resource,4
despite,4
6w7,4
wikipedia,4
formal,4
horror,4
deleted,4
active,4
mum,4
chaos,4
distant,4
castration,4
calculating,4
stimulus,4
sending,4
longest,4
lover,4
deeply,4
literature,4
imo,4
saturday,4
journey,4
spoken,4
onto,4
wide,4
shop,4
tolerate,4
generation,4
tune,4
sudden,4
ron,4
ii,4
difficulty,4
perfectly,4
technically,4
banter,4
messy,4
chicken,4
taylor,4
autism,4
magic,4
closet,4
pessimist,4
smiling,4
kitty23,4
nowadays,4
arrogant,4
placed,4
advance,4
potter,4
exercise,4
creates,4
crisis,4
gentleman,4
bin,4
argue,4
electronics,4
dish,4
manager,4
wich,4
sibling,4
shooter,4
constructive,4
dunno,4
record,4
unlikely,4
size,4
traditional,4
cover,4
openly,4
refer,4
juice,4
shoulder,4
sen,4
instrumental,4
hop,4
out0fammo,4
flag,4
cult,4
1st,4
visual,4
extended,4
interacting,4
desk,4
shiny,4
introversion,4
beer,4
beatles,4
conscious,4
touched,4
ultimately,4
mod,4
cheating,4
viewed,4
perceived,4
applying,4
employee,4
screw,4
rent,4
ta,4
cooky,4
pencil,4
thoughtful,4
concrete,4
unfortunate,4
solve,4
acknowledge,4
radio,4
sheldon,4
programming,4
subtle,4
throwing,4
accepted,4
remind,4
expecting,4
idiot,4
outcome,4
exercising,4
weather,4
impact,4
properly,4
responsible,4
trailer,4
italian,4
benefit,4
chess,4
clingy,4
realise,4
stickied,4
dose,4
chorus,4
cup,4
paul,4
annoys,4
plane,4
discrimination,4
amusing,4
gaming,4
suffered,4
assumption,4
coat,4
guard,4
fulfilling,4
guitar,4
sadly,4
gray,4
youngest,4
channel,4
threw,4
accident,4
acv,4
dirty,4
punish,4
affirmation,4
temper,4
protective,4
uni,4
shower,4
national,4
relevant,4
draining,4
chatting,4
attend,4
trend,4
recharge,4
alex,4
shed,4
belt,4
california,4
clarify,4
error,4
round,4
overcome,4
island,4
frequency,4
backup,4
fault,4
pretend,4
sincerely,4
stare,4
flirt,4
supervisor,4
citizen,4
scientific,4
intentionally,4
symbol,4
bread,4
fashion,4
trade,4
deserve,4
expensive,4
lifetime,4
greatest,4
highest,4
concert,4
feelery,4
episode,4
hahaha,4
hating,4
ird,4
refuse,4
quarter,4
coast,4
syndrome,4
sympathy,4
edited,4
ninja,4
kim,4
greatly,4
bite,4
masculine,4
occasion,4
bridge,4
lord,4
valuable,4
adulthood,4
belong,4
dying,4
litmus,4
chrome,4
racism,4
cousin,4
regular,4
trillion,4
increase,4
passive,4
actively,4
stoic,4
combine,4
concerned,4
smoking,4
blah,4
soundtrack,4
username,4
actualized,4
spirit,4
console,4
mask,4
borderline,4
leg,4
confidant,4
hardcore,4
intellectual,4
opponent,4
duck,4
pda,4
reminded,4
fixed,4
taping,4
pulled,4
complicated,4
bachelor,4
perfectionist,4
confrontational,4
sir,4
bank,4
cafe,4
drove,4
omg,4
separate,4
relatively,4
depth,4
advanced,4
fox,4
variant,4
wasting,4
mellow,4
billion,4
discipline,4
venue,4
citizenship,4
priority,4
reference,4
studio,4
division,4
personalitycafe,4
prom,4
german,4
leadership,4
philosophy,4
exclusive,4
union,4
legend,4
george,4
medication,4
teen,4
convince,4
taller,4
ohh,4
pack,4
sometime,4
ring,4
penny,4
yardiff,4
sell,4
arrive,4
anger,4
stone,4
tactic,4
supportive,4
former,4
seinfeld,4
occasional,4
virgin,4
traveling,4
hiding,4
coworkers,4
wound,4
demand,4
modern,4
expense,4
develop,4
texas,4
fell,4
taught,4
min,4
appears,4
psychiatrist,4
remembered,4
lay,4
obsession,4
reliable,4
temporary,4
australian,4
discriminate,4
cried,4
wasted,4
fighter,4
hero,4
plain,4
vary,4
browneyedgirl1,4
walked,4
pursue,4
referring,4
singing,4
chair,4
exciting,4
pro,4
flip,4
searching,4
grown,4
voter,4
log,4
theater,4
surely,4
majoring,4
affection,4
laying,4
vague,4
distinction,4
prepare,4
peter,4
spectrum,4
cowboy,4
dollar,4
hence,4
distancing,4
proof,4
nld,4
autistic,4
apart,4
struggle,4
beaten,4
analyze,3
requires,3
hyper,3
vibrant,3
moon,3
harm,3
express,3
pleasant,3
muted,3
honor,3
dexter,3
tennis,3
subway,3
allium,3
intent,3
defended,3
infx,3
marijuana,3
severe,3
courage,3
hateful,3
albeit,3
pause,3
standing,3
maternal,3
sorta,3
experiencing,3
spelled,3
unemployed,3
gentler,3
actor,3
cliff,3
imposed,3
regain,3
shinichi,3
nose,3
robotic,3
decade,3
illegal,3
phil,3
east,3
reset,3
lawyer,3
qualify,3
pattern,3
protect,3
accomplish,3
improve,3
bedroom,3
gifted,3
pee,3
failing,3
4k,3
frozen,3
august,3
seattle,3
desktop,3
praise,3
lurker,3
chill,3
skimmed,3
correction,3
effortless,3
jungian,3
upper,3
comic,3
cue,3
ugh,3
cheap,3
painted,3
librarylady,3
stack,3
jesus,3
literal,3
woke,3
household,3
yellow,3
workmate,3
awake,3
warehouse,3
dare,3
surgery,3
butt,3
elizabeth,3
bluntness,3
potentially,3
paranoid,3
overtime,3
urge,3
contained,3
analysis,3
ground,3
threatened,3
aside,3
frank,3
randomly,3
hooked,3
wondered,3
bag,3
vulnerability,3
thomas,3
spoke,3
speed,3
october,3
motivated,3
lego,3
perception,3
hanged,3
differently,3
eaten,3
packed,3
evening,3
firm,3
planet,3
spock,3
bla,3
button,3
insecure,3
compute,3
latin,3
expert,3
cross,3
stating,3
bullshit,3
span,3
optimistic,3
york,3
mission,3
insensitive,3
unable,3
chris,3
design,3
pure,3
financially,3
whatcha,3
androgynous,3
led,3
viewpoint,3
9w8,3
criminal,3
irresponsible,3
exclamation,3
bottom,3
candle,3
captain,3
extravert,3
scott,3
3w4,3
principle,3
realized,3
whose,3
bleh,3
bath,3
beauty,3
depressing,3
abusive,3
bearing,3
asshole,3
clarity,3
anyways,3
spell,3
instinct,3
irl,3
historically,3
spotty,3
pushing,3
established,3
congratulation,3
flower,3
teach,3
pointing,3
meme,3
ban,3
removed,3
network,3
charge,3
ethos,3
recorded,3
snowbell,3
immensely,3
sounding,3
cheerful,3
atlanta,3
scheme,3
endless,3
sjs,3
medical,3
faced,3
file,3
artistic,3
grumpy,3
smoked,3
trapped,3
varies,3
thick,3
picking,3
cheese,3
replied,3
organizing,3
acted,3
witty,3
label,3
scream,3
awful,3
cider,3
narcissism,3
intimacy,3
appearance,3
procedure,3
gravity,3
exchange,3
maintain,3
intriguing,3
judgmental,3
chose,3
birth,3
notion,3
romantically,3
generic,3
movement,3
repeat,3
judgemental,3
cloud,3
sigh,3
unnaturally,3
security,3
sea,3
obligated,3
adore,3
raise,3
irritating,3
happiness,3
compatibility,3
rage,3
checking,3
compete,3
hufflepuff,3
upbeat,3
jealous,3
copy,3
reward,3
illogical,3
killing,3
dealt,3
nervous,3
escalated,3
salt,3
defend,3
boredom,3
controlled,3
graduated,3
portion,3
bulb,3
club,3
bean,3
apathetic,3
conspiracy,3
testing,3
fat,3
spare,3
yhea,3
twitter,3
turkey,3
dumb,3
destroy,3
guilt,3
disgusting,3
minded,3
resist,3
plant,3
recipe,3
nonverbal,3
constitutes,3
created,3
theme,3
sensor,3
sky,3
hamburger,3
uncommon,3
assumes,3
factory,3
similarity,3
consequence,3
flirting,3
